"Id","Date","Price","Gender","Income"
"100025901",1999-10-14,499.99,"M",7
"100025901",2001-01-18,149.99,"M",7
"100025901",2001-01-19,2199.97,"M",7
"100025901",2001-01-27,149.95,"M",7
"100025901",2002-06-17,329.99,"M",7
"100025901",2003-01-26,139.99,"M",7
"100025901",2003-06-12,99.99,"M",7
"100025901",2003-06-27,584.98,"M",7
"100025901",2003-06-29,119.98,"M",7
"100025901",2003-07-01,24.99,"M",7
"100025901",2003-09-26,75,"M",7
"100025901",2003-10-09,1364.97,"M",7
"100025901",2003-10-16,79.95,"M",7
"100025901",2004-02-21,69.99,"M",7
"100025901",2004-02-22,69.99,"M",7
"100025901",2004-04-20,289.94,"M",7
"100041095",2000-06-21,207.96,"F",4
"100041095",2000-06-22,199.98,"F",4
"100041095",2000-07-23,20,"F",4
"100046505",1999-02-10,1329.97,"F",3
"100046505",1999-03-24,19.99,"F",3
"100046505",1999-03-25,0.01,"F",3
"100046505",1999-06-01,12.99,"F",3
"100046505",1999-12-22,14.99,"F",3
"100046505",2000-07-24,159.98,"F",3
"100046505",2000-12-22,353.96,"F",3
"100046505",2000-12-31,149.99,"F",3
"100046505",2001-02-19,189.98,"F",3
"100046505",2001-02-21,50.99,"F",3
"100046505",2001-09-11,59.99,"F",3
"100140728",1999-07-22,123.77,"F",9
"100155358",2000-03-30,249.96,"M",1
"100155358",2001-09-14,44.98,"M",1
"100155358",2002-07-09,99.99,"M",1
"100164093",2000-06-05,99.99,"M",9
"100164093",2001-05-08,89.98,"M",9
"100164093",2002-09-12,559.98,"M",9
"100164162",1999-07-08,581.05,"M",2
"100164162",2000-07-17,479.93,"M",2
"100164162",2001-01-05,2273.57,"M",2
"100164162",2001-12-24,39.99,"M",2
"100164162",2002-05-08,99.47,"M",2
"100164162",2004-02-12,199.99,"M",2
"100172272",1999-02-25,849.94,"M",1
"100204326",1999-12-02,199.99,"M",1
"100204326",1999-12-03,69.99,"M",1
"100239038",2000-10-04,879.98,"F",7
"100239038",2000-10-06,943.78,"F",7
"100239038",2000-10-31,99.99,"F",7
"100239038",2000-11-12,15,"F",7
"100239038",2001-09-13,93.97,"F",7
"100249559",2000-03-05,183.97,"F",4
"100249559",2000-08-03,299.98,"F",4
"100249559",2000-10-14,1094.95,"F",4
"100249559",2002-08-13,208.96,"F",4
"100249559",2002-08-14,209.94,"F",4
"100254877",2000-03-12,487.57,"F",6
"100254877",2001-06-17,189.99,"F",6
"100254877",2001-07-28,119.97,"F",6
"100254877",2001-09-18,299.99,"F",6
"100254877",2001-12-20,257.95,"F",6
"100254877",2002-04-24,244.98,"F",6
"100263955",2000-01-29,154.98,"M",5
"100263955",2000-02-02,30.98,"M",5
"100263955",2004-06-02,119.95,"M",5
"100266348",1999-12-17,152.96,"F",5
"100266348",2000-11-24,89.99,"F",5
"100266348",2002-10-19,99.99,"F",5
"100266348",2003-10-08,929.98,"F",5
"100279007",1999-11-13,1489.94,"M",1
"100279007",1999-11-23,1049.98,"M",1
"100316953",2000-05-01,1194.93,"M",6
"100316953",2000-05-03,59.99,"M",6
"100316953",2000-07-27,214.96,"M",6
"100316953",2000-11-04,119.98,"M",6
"100316953",2000-11-24,119.99,"M",6
