"Id","Date","Price"
"1",2005-01-06,44.98
"100",2005-01-05,32.12
"1001",2005-01-25,102.2
"1001",2005-02-09,101.51
"1001",2005-03-06,102.31
"1001",2005-04-07,126.78
"1001",2005-04-09,91.87
"1001",2005-04-09,98.04
"1001",2005-04-24,95.32
"1001",2005-05-08,119.77
"1001",2005-05-08,108.97
"1001",2005-05-11,115.23
"1001",2005-06-11,104.93
"1001",2005-06-13,112.63
"1001",2005-06-17,106.7
"1001",2005-07-14,102.98
"1001",2005-07-30,108.33
"1001",2005-08-04,113.91
"1002",2005-01-04,29.55
"1002",2005-01-10,36.55
"1002",2005-01-19,36.17
"1003",2005-01-07,39.48
"1003",2005-01-08,38.15
"1004",2005-02-09,54.43
"1004",2005-02-10,43.59
"1004",2005-03-05,54.73
"1004",2005-07-21,52.97
"1004",2005-08-05,49.57
"1004",2005-08-17,47.46
"1005",2005-01-29,96.93
"1006",2005-01-03,34.97
"1007",2005-01-04,34.11
"1008",2005-01-30,49.11
"1008",2005-02-14,49.11
"1008",2005-02-17,48.81
"1008",2005-03-02,48.59
"1008",2005-04-04,48.65
"1009",2005-01-29,41.42
"1009",2005-01-31,32.63
"1011",2005-01-29,39.18
"1011",2005-02-19,43.61
"1011",2005-03-17,45.74
"1011",2005-03-25,41.68
"1011",2005-03-31,44.45
"1011",2005-04-04,45.19
"1011",2005-04-12,41.41
"1012",2005-01-02,46.69
"1012",2005-01-04,43.65
"1012",2005-01-15,43.11
"1012",2005-01-15,50.37
"1012",2005-01-20,48.24
"1012",2005-02-01,47.98
"1012",2005-02-11,42.88
"1012",2005-02-15,45.92
"1012",2005-02-17,48.13
"1012",2005-02-23,43.49
"1012",2005-03-17,47.63
"1012",2005-03-28,48.79
"1012",2005-03-29,40.09
"1012",2005-04-02,47.57
"1012",2005-04-07,42.94
"1012",2005-04-10,48.75
"1012",2005-04-13,52.18
"1012",2005-04-13,46.46
"1012",2005-04-18,44.15
"1012",2005-05-01,47.38
"1012",2005-05-06,52.42
"1012",2005-05-10,53.37
"1012",2005-05-22,45.87
"1012",2005-06-10,44.79
"1013",2005-02-01,28.79
"1014",2005-02-12,22.14
"1017",2005-02-01,32.16
"1017",2005-02-01,35.27
"1017",2005-02-06,31.69
"1017",2005-03-07,31.78
"1017",2005-03-30,34.69
"1017",2005-03-31,35.55
"1017",2005-04-04,32.1
"1017",2005-04-19,31.27
"1017",2005-04-30,30.46
"1017",2005-06-06,34.2
"1017",2005-06-19,32.03
"1017",2005-07-05,33.57
"1017",2005-07-12,36.08
"1017",2005-07-13,31.64
"1017",2005-07-17,29.78
"1017",2005-07-19,35.61
"1017",2005-07-31,35.62
"1017",2005-08-13,30.28
"1017",2005-08-20,34.37
"1017",2005-10-24,33.92
"1017",2005-10-28,34.41
"1017",2005-10-30,33.6
"102",2005-01-08,80.61
"102",2005-01-09,102.95
"102",2005-01-17,95.06
"102",2005-02-04,86.6
"102",2005-02-11,88.16
"102",2005-03-05,103.8
"102",2005-03-13,97.07
"102",2005-04-04,88.49
"1020",2005-02-03,44.75
"1020",2005-02-05,51.67
"1020",2005-02-15,46.73
"1020",2005-02-18,43.22
"1020",2005-02-19,49.21
"1020",2005-02-20,41.9
"1020",2005-03-24,43.55
"1020",2005-04-04,44.84
"1020",2005-04-05,45.08
"1020",2005-06-12,47.06
"1020",2005-06-28,48.41
"1020",2005-07-02,44.68
"1020",2005-07-17,43.11
"1020",2005-08-06,43.07
"1020",2005-09-08,50.54
"1020",2005-09-10,48.67
"1020",2005-09-20,51.59
"1020",2005-09-26,47.29
"1021",2005-01-03,20.54
"1021",2005-01-23,20.94
"1021",2005-01-24,18.14
"1021",2005-02-14,20.13
"1021",2005-03-05,24.83
"1021",2005-03-17,20
"1021",2005-03-23,18.79
"1021",2005-04-14,21.83
"1021",2005-04-26,19.72
"1022",2005-01-20,34.17
"1024",2005-01-17,42.46
"1024",2005-01-20,40.27
"1024",2005-01-26,38.81
"1024",2005-02-14,41.63
"1024",2005-02-20,42.01
"1024",2005-03-10,43.38
"1024",2005-03-11,42.78
"1024",2005-03-22,38.73
"1024",2005-03-28,43.79
"1025",2005-01-08,51.53
"1025",2005-01-16,41.95
"1025",2005-01-18,49.57
"1025",2005-02-10,51.7
"1025",2005-02-11,45.98
"1025",2005-02-17,43.21
"1026",2005-02-03,63.72
"1026",2005-02-27,57.63
"1026",2005-03-03,59.14
"1027",2005-01-03,39.99
"1029",2005-01-06,46.49
"1029",2005-01-06,38.02
"1029",2005-01-31,37.65
"1029",2005-02-05,48.16
"1029",2005-02-09,41.25
"1029",2005-02-12,47.27
"1029",2005-02-23,42.58
"1029",2005-02-27,41.82
"103",2005-01-03,61.57
"103",2005-01-04,61.96
"103",2005-01-08,65.17
"1030",2005-01-08,29.99
"1030",2005-03-04,29.57
"1030",2005-03-14,33.79
"1030",2005-04-03,31.61
"1032",2005-01-06,37.57
"1032",2005-01-20,38.92
"1032",2005-01-26,40.47
"1032",2005-02-14,48.65
"1032",2005-03-24,38.38
"1032",2005-04-09,41.14
"1032",2005-04-26,40.81
"1032",2005-05-10,43.03
"1032",2005-05-23,41.15
"1032",2005-06-05,37.72
"1032",2005-06-13,44.21
"1032",2005-06-26,41.65
"1032",2005-07-06,41.88
"1032",2005-07-07,44.76
"1033",2005-01-19,33.79
"1033",2005-01-21,34.68
"1033",2005-02-01,32.1
"1035",2005-01-10,41.92
"1036",2005-01-03,54.03
"1036",2005-01-19,46.55
"1036",2005-01-20,46.34
"1038",2005-01-02,29.25
"1038",2005-01-02,31.62
"1038",2005-02-11,31.32
"1038",2005-02-22,33.19
"1038",2005-03-03,30.99
"1038",2005-03-19,29.11
"1039",2005-01-08,35.13
"1040",2005-01-22,50.59
"1040",2005-02-04,48.88
"1040",2005-02-11,53.88
"1040",2005-02-17,47.27
"1040",2005-03-07,46.99
"1040",2005-03-08,52.25
"1040",2005-03-08,44.54
"1040",2005-03-15,54.44
"1040",2005-03-19,51.24
"1040",2005-04-26,51.98
"1040",2005-05-13,45.23
"1040",2005-06-03,46.36
"1040",2005-06-25,50.9
"1041",2005-03-10,45.25
"1041",2005-04-04,48.71
"1041",2005-04-10,46.85
"1042",2005-01-20,43.35
"1042",2005-01-22,45.02
"1043",2005-02-08,56.55
"1046",2005-01-02,31.04
"1047",2005-02-19,42.66
"1047",2005-03-11,42.22
"1047",2005-04-03,40.56
"1048",2005-01-17,40.48
"1048",2005-01-17,37.78
"1048",2005-01-28,45.42
"1048",2005-01-30,40.62
"1048",2005-03-05,40.62
"1048",2005-03-07,37.96
"1048",2005-03-09,38.8
"1048",2005-03-20,37.54
"1048",2005-03-29,40.91
"1049",2005-01-10,31.46
"1049",2005-01-19,28.37
"105",2005-01-01,37.6
"105",2005-02-12,38.75
"1050",2005-01-31,44.11
"1050",2005-02-14,46.57
"1050",2005-03-02,47.57
"1051",2005-01-03,36.79
"1051",2005-01-05,40.61
"1051",2005-01-05,40
"1051",2005-01-16,35.25
"1051",2005-01-19,37.82
"1051",2005-01-27,36.27
"1051",2005-03-23,38.79
"1051",2005-04-06,35.93
"1051",2005-04-19,35.73
"1051",2005-04-20,35.23
"1051",2005-04-22,37.16
"1051",2005-04-23,38.83
"1051",2005-05-06,38.49
"1051",2005-05-11,33.97
"1051",2005-05-11,34.54
"1051",2005-05-25,42.17
"1051",2005-05-25,37.52
"1051",2005-05-30,36.86
"1052",2005-01-06,71.52
"1053",2005-01-08,42.36
"1053",2005-01-19,38.27
"1054",2005-01-25,21.82
"1054",2005-01-30,21.06
"1054",2005-02-07,22.47
"1054",2005-02-08,20.4
"1054",2005-02-24,20.19
"1055",2005-01-14,96.68
"1055",2005-01-20,88.68
"1055",2005-02-01,100.28
"1055",2005-02-14,87.21
"1055",2005-02-22,103.13
"1055",2005-03-07,92.8
"1055",2005-03-20,88.39
"1055",2005-03-27,81.57
"1055",2005-04-07,94.55
"1055",2005-04-11,86.4
"1055",2005-04-24,87.97
"1055",2005-05-15,102.55
"1055",2005-05-20,99.91
"1057",2005-01-19,39.93
"1059",2005-01-06,47.14
"1059",2005-01-27,39.1
"1059",2005-02-03,42.91
"1059",2005-02-11,41.3
"1059",2005-03-01,37.91
"1060",2005-01-09,25.39
"1060",2005-01-12,22.87
"1060",2005-02-01,23.66
"1060",2005-02-04,24.87
"1060",2005-02-21,24.3
"1060",2005-03-07,24.88
"1060",2005-03-22,24.06
"1060",2005-04-07,23.02
"1060",2005-05-06,22.25
"1060",2005-05-12,25.9
"1060",2005-07-04,25.78
"1060",2005-07-04,25.42
"1060",2005-07-14,24.97
"1060",2005-08-05,23.57
"1060",2005-08-17,20.8
"1060",2005-08-31,25.51
"1060",2005-09-07,23.16
"1060",2005-09-16,27.84
"1060",2005-10-06,28.53
"1060",2005-10-22,24.78
"1060",2005-11-14,27.31
"1060",2005-11-22,28.94
"1060",2005-12-02,26.1
"1060",2005-12-08,26.88
"1060",2006-01-12,27.04
"1060",2006-01-13,23.68
"1060",2006-01-20,24.9
"1060",2006-01-30,22.22
"1060",2006-02-06,25.76
"1060",2006-02-18,27.16
"1060",2006-02-24,24.1
"1060",2006-02-25,27.23
"1061",2005-01-03,65.97
